Fight_ID,Fighter_ID,Opponent_ID,Result,Duration,Significant_Strikes_Landed,Significant_Strikes_Attempted,Takedowns_Landed,Takedowns_Attempted,Knockdowns,Control_Time
213,617,623,W,137,14,30,1,1,0,119
213,623,617,L,137,1,3,0,1,0,0
214,617,624,W,288,17,25,0,0,1,4
214,624,617,L,288,5,7,1,6,0,219
215,617,625,W,900,37,73,0,0,0,3
215,625,617,L,900,4,19,7,10,0,579
216,617,87,W,1122,39,90,1,3,0,102
216,87,617,L,1122,15,37,4,11,0,450
217,617,626,W,492,39,71,0,0,1,100
217,626,617,L,492,21,47,0,1,0,4
218,617,274,L,1131,51,139,0,3,0,0
218,274,617,W,1131,59,125,0,0,0,0
219,617,627,W,768,30,45,1,2,2,136
219,627,617,L,768,37,56,1,2,0,432
220,617,269,W,900,20,54,0,2,0,1
220,269,617,L,900,11,46,0,0,0,0
221,617,628,W,889,39,70,0,2,1,42
221,628,617,L,889,121,171,1,2,0,106
222,617,629,L,434,4,13,0,0,0,0
222,629,617,W,434,19,25,4,4,0,310
223,617,277,L,418,7,25,0,0,0,2
223,277,617,W,418,29,55,0,0,1,11
224,617,630,W,900,31,68,1,3,0,127
224,630,617,L,900,20,38,3,6,0,202
225,617,251,W,900,20,50,0,1,0,41
225,251,617,L,900,5,12,3,7,0,529
226,617,273,W,321,35,42,1,1,1,179
226,273,617,L,321,2,6,1,1,0,141
227,617,268,W,376,7,23,0,0,1,2
227,268,617,L,376,28,52,0,3,0,15
228,617,631,L,851,16,37,0,1,0,8
228,631,617,W,851,98,122,0,1,0,81
229,617,278,W,216,14,28,0,1,1,0
229,278,617,L,216,10,19,0,0,0,0
230,617,632,L,400,27,43,2,4,0,108
230,617,632,W,400,24,36,0,0,1,126
231,617,614,L,55,4,6,0,0,0,0
231,614,617,W,55,15,24,0,0,1,2
232,617,613,L,185,0,3,0,0,0,0
232,613,617,W,185,12,21,6,8,0,152
233,617,506,W,33,17,33,0,0,1,29
233,506,617,L,33,1,1,0,0,0,0
234,617,82,L,1500,20,39,0,2,0,57
234,82,617,W,1500,38,56,6,15,0,1270
235,617,633,W,649,41,75,1,4,1,203
235,633,617,L,649,27,41,1,1,0,286
236,617,634,W,35,9,17,0,0,1,12
236,634,617,L,35,3,5,0,0,0,0
237,607,608,W,220,43,89,0,0,1,63
237,608,607,L,220,15,27,0,0,0,0
238,607,609,W,900,73,158,0,0,0,0
238,609,607,L,900,56,138,0,1,0,13
239,607,610,W,900,147,278,0,0,0,13
239,610,607,L,900,66,177,1,2,0,94
240,607,506,L,900,82,150,0,1,0,34
240,506,607,W,900,59,76,3,7,0,301
241,607,611,W,183,15,45,0,0,1,1
241,611,607,L,183,14,22,0,0,0,0
242,607,158,W,900,49,136,0,0,0,0
242,158,607,L,900,58,127,0,0,0,0
243,607,612,W,900,52,101,3,4,0,589
243,612,607,L,900,26,52,0,0,0,19
244,607,512,W,588,66,111,0,1,1,57
244,512,607,L,588,23,86,0,2,0,5
245,607,613,W,900,110,235,0,0,0,0
245,613,607,L,900,48,119,2,6,0,145
246,607,614,L,900,45,117,0,0,0,0
246,614,607,W,900,61,133,0,3,0,8
247,607,615,W,239,12,17,0,0,1,97
247,615,607,L,239,16,36,0,1,0,25
248,607,616,W,82,10,21,0,0,2,8
248,616,607,L,82,6,15,0,0,0,0
249,607,617,W,494,44,62,1,1,1,28
249,617,607,L,494,8,43,0,0,0,0
250,635,636,W,254,27,45,0,0,2,0
250,636,635,L,254,26,61,1,4,0,0
251,635,637,W,900,141,255,3,6,0,27
251,637,635,L,900,96,296,0,2,0,71
252,635,638,W,900,63,111,0,0,0,55
252,638,635,L,900,25,60,4,7,0,358
253,635,639,W,122,18,22,0,0,0,2
253,639,635,L,122,0,11,0,0,0,0
254,635,425,W,114,13,20,0,0,1,0
254,425,635,L,114,4,7,0,0,0,0
255,635,577,L,280,10,21,0,0,0,0
255,577,635,W,280,18,20,0,0,0,11
256,635,640,W,832,86,149,0,0,2,8
256,640,635,L,832,25,71,1,2,0,22
257,635,641,W,873,230,318,0,0,1,4
257,641,635,L,873,70,218,0,0,0,9
258,635,642,W,282,39,62,0,0,1,2
258,642,635,L,282,11,47,0,2,0,0
259,635,643,NC,489,25,47,0,0,0,0
259,643,635,NC,489,26,41,0,0,0,0
260,635,578,W,900,84,163,0,1,0,2
260,578,635,L,900,58,96,6,13,0,344
261,635,644,W,351,25,35,0,0,1,18
261,644,635,L,351,17,35,0,2,0,34
262,635,577,W,1500,230,356,0,0,0,3
262,577,635,L,1500,89,241,0,0,0,0
263,635,568,L,1500,47,89,0,0,0,0
263,568,635,W,1500,82,164,6,15,0,603
264,635,568,L,1500,31,57,0,0,0,0
264,568,635,W,1500,52,115,5,12,0,389
265,645,646,W,256,8,29,0,0,1,8
265,646,645,L,256,3,30,0,1,0,0
266,645,647,W,599,39,100,1,1,1,374
266,647,645,L,599,8,31,0,2,0,16
267,645,648,W,900,79,192,2,2,0,162
267,648,645,L,900,74,201,0,0,0,5
268,645,649,W,124,8,20,0,0,1,1
268,649,645,L,124,1,14,0,0,0,0
269,645,262,D,900,30,105,0,0,0,56
269,262,645,D,900,41,67,5,12,0,393
270,645,577,W,900,101,201,0,1,0,60
270,577,645,L,900,92,164,2,3,0,195
271,645,650,L,900,67,161,0,0,0,66
271,650,645,W,900,59,142,3,5,0,96
272,645,23,W,900,116,257,0,3,0,20
272,23,645,L,900,78,190,1,5,0,26
273,645,651,W,395,30,80,0,0,1,20
273,651,645,L,395,13,78,0,0,0,0
274,645,652,W,126,14,35,0,0,1,2
274,652,645,L,126,9,25,0,0,0,0
275,645,567,L,1200,54,145,2,2,0,99
275,567,645,W,1200,94,222,1,14,0,227
276,645,474,W,1270,105,228,0,0,2,27
276,474,645,L,1270,60,139,2,9,0,51
277,645,653,W,1500,77,165,2,3,0,661
277,653,645,L,1500,87,145,0,2,0,0
278,645,578,L,900,86,172,1,8,0,100
278,578,645,W,900,99,183,2,5,0,107
279,645,654,W,900,84,178,0,1,0,0
279,654,645,L,900,67,133,0,3,0,0
280,635,645,W,900,48,92,0,0,0,0
280,645,635,L,900,36,94,3,7,0,126
281,658,659,W,14,11,19,0,0,1,0
281,659,658,L,14,3,6,0,0,0,0
282,658,430,L,593,36,78,1,4,0,201
282,430,658,W,593,61,96,0,2,0,195
283,658,660,W,128,10,16,2,3,0,97
283,660,658,L,128,3,8,0,0,0,12
284,658,661,W,236,14,57,1,3,0,161
284,661,658,L,236,1,6,0,0,0,0
285,658,662,L,681,22,37,1,2,0,188
285,662,658,W,681,40,60,3,3,0,417
286,658,664,W,106,15,17,0,0,1,1
286,664,658,L,106,1,8,0,2,0,1
287,658,663,W,173,27,39,0,0,1,43
287,663,658,L,173,2,16,0,2,0,6
288,658,665,W,900,39,81,2,6,0,278
288,665,658,L,900,28,67,1,1,0,79
289,658,667,W,196,40,63,0,0,0,27
289,667,658,L,196,3,15,0,5,0,0
290,658,666,W,48,27,47,0,0,0,0
290,666,658,L,48,7,14,0,0,0,0
291,658,665,W,1500,86,176,2,8,0,152
291,665,658,L,1500,72,194,0,1,0,0
292,658,668,W,1356,124,254,3,4,0,229
292,668,658,L,1356,64,169,1,8,0,133
293,658,669,W,51,13,21,0,0,2,1
293,669,658,L,51,3,15,0,1,0,0
294,658,348,W,250,17,35,0,1,1,5
294,348,658,L,250,11,14,0,0,0,0
295,658,661,W,1500,79,184,8,11,0,1109
295,661,658,L,1500,40,73,0,0,0,100
296,658,670,W,1500,124,214,6,7,0,481
296,670,658,L,1500,42,130,0,7,0,9
297,658,671,W,123,18,25,0,0,0,42
297,671,658,L,123,2,5,0,1,0,0
298,658,657,L,506,46,99,1,1,0,215
298,657,658,W,506,79,135,1,1,0,25
299,658,657,W,1500,85,152,6,8,3,709
299,657,658,L,1500,60,154,0,0,0,0
300,658,33,W,1500,142,267,6,13,0,420
300,33,658,L,1500,41,143,0,0,0,10
301,655,348,W,407,51,71,2,5,0,291
301,348,655,L,407,2,12,0,1,0,15
302,655,656,W,900,55,94,2,8,0,474
302,656,655,L,900,24,61,0,0,0,0
303,655,657,W,595,30,54,2,3,0,366
303,657,655,L,595,9,30,0,1,0,0
,,,,,,,,,,
,,,,,,,,,,
305,533,672,L,839,122,237,0,1,0,6
305,672,533,W,839,155,356,1,2,1,20
306,533,436,L,933,115,212,0,0,0,64
306,436,533,W,933,174,351,0,5,0,6
307,533,673,W,87,7,15,0,0,1,4
307,673,533,L,87,10,20,0,0,0,0
308,533,188,W,150,20,35,0,0,1,44
308,188,533,L,150,13,32,0,0,0,0
309,533,197,W,258,40,61,0,0,1,4
309,197,533,L,258,17,52,0,0,0,0
310,533,200,W,1419,143,197,0,0,0,0
310,200,533,L,1419,136,296,0,0,0,0
311,533,202,L,394,26,80,2,3,0,55
